,field count,non empty count,data types
backupStations.0.stationId,5253,5253,str
backupStations.0.stationName,5253,5253,str
backupStations.1.stationId,5253,5253,str
backupStations.1.stationName,5253,5253,str
brightcoveVideoId,5833,5833,str
category.categoryType,5833,5833,str
category.id,5833,5833,int
category.name,5833,5833,str
category.sortOrder,5833,5833,int
category.type,5833,5833,str
category.uuid,5833,5833,str
categoryId,5833,5833,int
closedCaptions.0.language,4120,4120,str
closedCaptions.0.mimeType,4120,4120,str
closedCaptions.0.type,4120,4120,str
closedCaptions.0.uri,4120,4120,str
closedCaptions.1.language,4,4,str
closedCaptions.1.mimeType,4,4,str
closedCaptions.1.type,4,4,str
closedCaptions.1.uri,4,4,str
description,5833,5833,str
duration,5833,5821,int
durationBody,5833,5833,int
durationForBadge,5833,22,"NoneType, int"
durationHead,5833,5778,int
durationTail,5833,5793,int
enabled,5833,5833,bool
equipment.0.id,181,181,str
equipment.0.key,181,181,str
equipment.0.name,181,181,str
equipment.0.tagGroupId,181,181,str
equipment.0.tagGroupKey,181,181,str
equipment.0.tagGroupName,181,181,str
expiredEnabled,5833,6,bool
explicitLyrics,5833,411,bool
firstPlayStation.stationId,742,742,str
firstPlayStation.stationName,742,742,str
formVideos.count,179,179,int
formVideos.shareUrl,179,0,NoneType
formVideos.workoutVideos.0.brightcoveVideoId,179,179,str
formVideos.workoutVideos.0.categoryId,179,179,int
formVideos.workoutVideos.0.closedCaptions.0.language,179,179,str
formVideos.workoutVideos.0.closedCaptions.0.mimeType,179,179,str
formVideos.workoutVideos.0.closedCaptions.0.type,179,179,str
formVideos.workoutVideos.0.closedCaptions.0.uri,179,179,str
formVideos.workoutVideos.0.durationBody,179,179,int
formVideos.workoutVideos.0.enabled,179,179,bool
formVideos.workoutVideos.0.exercises.0.id,179,179,str
formVideos.workoutVideos.0.exercises.0.key,179,179,str
formVideos.workoutVideos.0.exercises.0.name,179,179,str
formVideos.workoutVideos.0.exercises.0.tagGroupId,179,179,str
formVideos.workoutVideos.0.exercises.0.tagGroupKey,179,179,str
formVideos.workoutVideos.0.exercises.0.tagGroupName,179,179,str
formVideos.workoutVideos.0.explicitLyrics,179,0,bool
formVideos.workoutVideos.0.id,179,179,int
formVideos.workoutVideos.0.image.bucket,9,9,str
formVideos.workoutVideos.0.image.imageServerBaseUrl,9,9,str
formVideos.workoutVideos.0.image.key,9,9,str
formVideos.workoutVideos.0.instructors.seat1,179,0,NoneType
formVideos.workoutVideos.0.instructors.seat1Id,179,0,NoneType
formVideos.workoutVideos.0.instructors.seat2,179,0,NoneType
formVideos.workoutVideos.0.instructors.seat2Id,179,0,NoneType
formVideos.workoutVideos.0.instructors.seat3,179,0,NoneType
formVideos.workoutVideos.0.instructors.seat3Id,179,0,NoneType
formVideos.workoutVideos.0.instructors.stroke.cardImage,179,0,NoneType
formVideos.workoutVideos.0.instructors.stroke.cardUri,179,7,"NoneType, str"
formVideos.workoutVideos.0.instructors.stroke.familiarName,179,179,str
formVideos.workoutVideos.0.instructors.stroke.id,179,179,int
formVideos.workoutVideos.0.instructors.stroke.instructorName,179,179,str
formVideos.workoutVideos.0.instructors.stroke.name,179,179,str
formVideos.workoutVideos.0.instructors.stroke.thumbnailImage.bucket,179,179,str
formVideos.workoutVideos.0.instructors.stroke.thumbnailImage.imageServerBaseUrl,179,179,str
formVideos.workoutVideos.0.instructors.stroke.thumbnailImage.key,179,179,str
formVideos.workoutVideos.0.instructors.stroke.thumbnailUri,179,179,str
formVideos.workoutVideos.0.instructors.strokeId,179,179,int
formVideos.workoutVideos.0.intensityIconUrl,179,0,NoneType
formVideos.workoutVideos.0.intensityLevel,179,0,NoneType
formVideos.workoutVideos.0.intensityText,179,0,NoneType
formVideos.workoutVideos.0.isCanceled,179,0,bool
formVideos.workoutVideos.0.isLive,179,0,bool
formVideos.workoutVideos.0.liveBodyBroadcastTime,179,0,NoneType
formVideos.workoutVideos.0.location,179,179,str
formVideos.workoutVideos.0.locationShortName,179,179,str
formVideos.workoutVideos.0.maxRhythm,179,0,NoneType
formVideos.workoutVideos.0.mediaSources.0.audioTracks.0.duration,179,179,int
formVideos.workoutVideos.0.mediaSources.0.audioTracks.0.language,179,179,str
formVideos.workoutVideos.0.mediaSources.0.audioTracks.0.name,179,179,str
formVideos.workoutVideos.0.mediaSources.0.audioTracks.0.primary,179,179,bool
formVideos.workoutVideos.0.mediaSources.0.mimeType,179,179,str
formVideos.workoutVideos.0.mediaSources.0.providerName,179,179,str
formVideos.workoutVideos.0.mediaSources.0.textTracks.0.language,179,179,str
formVideos.workoutVideos.0.mediaSources.0.textTracks.0.name,179,179,str
formVideos.workoutVideos.0.mediaSources.0.textTracks.0.type,179,179,str
formVideos.workoutVideos.0.mediaSources.0.uri,179,179,str
formVideos.workoutVideos.0.mediaSources.1.audioTracks.0.duration,179,179,int
formVideos.workoutVideos.0.mediaSources.1.audioTracks.0.language,179,179,str
formVideos.workoutVideos.0.mediaSources.1.audioTracks.0.name,179,179,str
formVideos.workoutVideos.0.mediaSources.1.audioTracks.0.primary,179,179,bool
formVideos.workoutVideos.0.mediaSources.1.mimeType,179,179,str
formVideos.workoutVideos.0.mediaSources.1.providerName,179,179,str
formVideos.workoutVideos.0.mediaSources.1.textTracks.0.language,179,179,str
formVideos.workoutVideos.0.mediaSources.1.textTracks.0.name,179,179,str
formVideos.workoutVideos.0.mediaSources.1.textTracks.0.type,179,179,str
formVideos.workoutVideos.0.mediaSources.1.uri,179,179,str
formVideos.workoutVideos.0.name,179,179,str
formVideos.workoutVideos.0.posterUri,179,9,"NoneType, str"
formVideos.workoutVideos.0.publish,179,179,bool
formVideos.workoutVideos.0.recommendationType,179,0,NoneType
formVideos.workoutVideos.0.targetDistance,179,0,NoneType
formVideos.workoutVideos.0.thumbnailUri,179,9,"NoneType, str"
formVideos.workoutVideos.0.type,179,179,str
formVideos.workoutVideos.0.videoDisplayTime,179,179,str
formVideos.workoutVideos.1.brightcoveVideoId,111,111,str
formVideos.workoutVideos.1.categoryId,111,111,int
formVideos.workoutVideos.1.closedCaptions.0.language,111,111,str
formVideos.workoutVideos.1.closedCaptions.0.mimeType,111,111,str
formVideos.workoutVideos.1.closedCaptions.0.type,111,111,str
formVideos.workoutVideos.1.closedCaptions.0.uri,111,111,str
formVideos.workoutVideos.1.durationBody,111,111,int
formVideos.workoutVideos.1.enabled,111,111,bool
formVideos.workoutVideos.1.exercises.0.id,111,111,str
formVideos.workoutVideos.1.exercises.0.key,111,111,str
formVideos.workoutVideos.1.exercises.0.name,111,111,str
formVideos.workoutVideos.1.exercises.0.tagGroupId,111,111,str
formVideos.workoutVideos.1.exercises.0.tagGroupKey,111,111,str
formVideos.workoutVideos.1.exercises.0.tagGroupName,111,111,str
formVideos.workoutVideos.1.explicitLyrics,111,0,bool
formVideos.workoutVideos.1.id,111,111,int
formVideos.workoutVideos.1.image.bucket,3,3,str
formVideos.workoutVideos.1.image.imageServerBaseUrl,3,3,str
formVideos.workoutVideos.1.image.key,3,3,str
formVideos.workoutVideos.1.instructors.seat1,111,0,NoneType
formVideos.workoutVideos.1.instructors.seat1Id,111,0,NoneType
formVideos.workoutVideos.1.instructors.seat2,111,0,NoneType
formVideos.workoutVideos.1.instructors.seat2Id,111,0,NoneType
formVideos.workoutVideos.1.instructors.seat3,111,0,NoneType
formVideos.workoutVideos.1.instructors.seat3Id,111,0,NoneType
formVideos.workoutVideos.1.instructors.stroke.cardImage,111,0,NoneType
formVideos.workoutVideos.1.instructors.stroke.cardUri,111,5,"NoneType, str"
formVideos.workoutVideos.1.instructors.stroke.familiarName,111,111,str
formVideos.workoutVideos.1.instructors.stroke.id,111,111,int
formVideos.workoutVideos.1.instructors.stroke.instructorName,111,111,str
formVideos.workoutVideos.1.instructors.stroke.name,111,111,str
formVideos.workoutVideos.1.instructors.stroke.thumbnailImage.bucket,111,111,str
formVideos.workoutVideos.1.instructors.stroke.thumbnailImage.imageServerBaseUrl,111,111,str
formVideos.workoutVideos.1.instructors.stroke.thumbnailImage.key,111,111,str
formVideos.workoutVideos.1.instructors.stroke.thumbnailUri,111,111,str
formVideos.workoutVideos.1.instructors.strokeId,111,111,int
formVideos.workoutVideos.1.intensityIconUrl,111,0,NoneType
formVideos.workoutVideos.1.intensityLevel,111,0,NoneType
formVideos.workoutVideos.1.intensityText,111,0,NoneType
formVideos.workoutVideos.1.isCanceled,111,0,bool
formVideos.workoutVideos.1.isLive,111,0,bool
formVideos.workoutVideos.1.liveBodyBroadcastTime,111,0,NoneType
formVideos.workoutVideos.1.location,111,111,str
formVideos.workoutVideos.1.locationShortName,111,111,str
formVideos.workoutVideos.1.maxRhythm,111,0,NoneType
formVideos.workoutVideos.1.mediaSources.0.audioTracks.0.duration,111,111,int
formVideos.workoutVideos.1.mediaSources.0.audioTracks.0.language,111,111,str
formVideos.workoutVideos.1.mediaSources.0.audioTracks.0.name,111,111,str
formVideos.workoutVideos.1.mediaSources.0.audioTracks.0.primary,111,111,bool
formVideos.workoutVideos.1.mediaSources.0.mimeType,111,111,str
formVideos.workoutVideos.1.mediaSources.0.providerName,111,111,str
formVideos.workoutVideos.1.mediaSources.0.textTracks.0.language,111,111,str
formVideos.workoutVideos.1.mediaSources.0.textTracks.0.name,111,111,str
formVideos.workoutVideos.1.mediaSources.0.textTracks.0.type,111,111,str
formVideos.workoutVideos.1.mediaSources.0.uri,111,111,str
formVideos.workoutVideos.1.mediaSources.1.audioTracks.0.duration,111,111,int
formVideos.workoutVideos.1.mediaSources.1.audioTracks.0.language,111,111,str
formVideos.workoutVideos.1.mediaSources.1.audioTracks.0.name,111,111,str
formVideos.workoutVideos.1.mediaSources.1.audioTracks.0.primary,111,111,bool
formVideos.workoutVideos.1.mediaSources.1.mimeType,111,111,str
formVideos.workoutVideos.1.mediaSources.1.providerName,111,111,str
formVideos.workoutVideos.1.mediaSources.1.textTracks.0.language,111,111,str
formVideos.workoutVideos.1.mediaSources.1.textTracks.0.name,111,111,str
formVideos.workoutVideos.1.mediaSources.1.textTracks.0.type,111,111,str
formVideos.workoutVideos.1.mediaSources.1.uri,111,111,str
formVideos.workoutVideos.1.name,111,111,str
formVideos.workoutVideos.1.posterUri,111,3,"NoneType, str"
formVideos.workoutVideos.1.publish,111,111,bool
formVideos.workoutVideos.1.recommendationType,111,0,NoneType
formVideos.workoutVideos.1.targetDistance,111,0,NoneType
formVideos.workoutVideos.1.thumbnailUri,111,3,"NoneType, str"
formVideos.workoutVideos.1.type,111,111,str
formVideos.workoutVideos.1.videoDisplayTime,111,111,str
formVideos.workoutVideos.2.brightcoveVideoId,39,39,str
formVideos.workoutVideos.2.categoryId,39,39,int
formVideos.workoutVideos.2.closedCaptions.0.language,39,39,str
formVideos.workoutVideos.2.closedCaptions.0.mimeType,39,39,str
formVideos.workoutVideos.2.closedCaptions.0.type,39,39,str
formVideos.workoutVideos.2.closedCaptions.0.uri,39,39,str
formVideos.workoutVideos.2.durationBody,39,39,int
formVideos.workoutVideos.2.enabled,39,39,bool
formVideos.workoutVideos.2.exercises.0.id,39,39,str
formVideos.workoutVideos.2.exercises.0.key,39,39,str
formVideos.workoutVideos.2.exercises.0.name,39,39,str
formVideos.workoutVideos.2.exercises.0.tagGroupId,39,39,str
formVideos.workoutVideos.2.exercises.0.tagGroupKey,39,39,str
formVideos.workoutVideos.2.exercises.0.tagGroupName,39,39,str
formVideos.workoutVideos.2.explicitLyrics,39,0,bool
formVideos.workoutVideos.2.id,39,39,int
formVideos.workoutVideos.2.image.bucket,2,2,str
formVideos.workoutVideos.2.image.imageServerBaseUrl,2,2,str
formVideos.workoutVideos.2.image.key,2,2,str
formVideos.workoutVideos.2.instructors.seat1,39,0,NoneType
formVideos.workoutVideos.2.instructors.seat1Id,39,0,NoneType
formVideos.workoutVideos.2.instructors.seat2,39,0,NoneType
formVideos.workoutVideos.2.instructors.seat2Id,39,0,NoneType
formVideos.workoutVideos.2.instructors.seat3,39,0,NoneType
formVideos.workoutVideos.2.instructors.seat3Id,39,0,NoneType
formVideos.workoutVideos.2.instructors.stroke.cardImage,39,0,NoneType
formVideos.workoutVideos.2.instructors.stroke.cardUri,39,3,"NoneType, str"
formVideos.workoutVideos.2.instructors.stroke.familiarName,39,39,str
formVideos.workoutVideos.2.instructors.stroke.id,39,39,int
formVideos.workoutVideos.2.instructors.stroke.instructorName,39,39,str
formVideos.workoutVideos.2.instructors.stroke.name,39,39,str
formVideos.workoutVideos.2.instructors.stroke.thumbnailImage.bucket,39,39,str
formVideos.workoutVideos.2.instructors.stroke.thumbnailImage.imageServerBaseUrl,39,39,str
formVideos.workoutVideos.2.instructors.stroke.thumbnailImage.key,39,39,str
formVideos.workoutVideos.2.instructors.stroke.thumbnailUri,39,39,str
formVideos.workoutVideos.2.instructors.strokeId,39,39,int
formVideos.workoutVideos.2.intensityIconUrl,39,0,NoneType
formVideos.workoutVideos.2.intensityLevel,39,0,NoneType
formVideos.workoutVideos.2.intensityText,39,0,NoneType
formVideos.workoutVideos.2.isCanceled,39,0,bool
formVideos.workoutVideos.2.isLive,39,0,bool
formVideos.workoutVideos.2.liveBodyBroadcastTime,39,0,NoneType
formVideos.workoutVideos.2.location,39,39,str
formVideos.workoutVideos.2.locationShortName,39,39,str
formVideos.workoutVideos.2.maxRhythm,39,0,NoneType
formVideos.workoutVideos.2.mediaSources.0.audioTracks.0.duration,39,39,int
formVideos.workoutVideos.2.mediaSources.0.audioTracks.0.language,39,39,str
formVideos.workoutVideos.2.mediaSources.0.audioTracks.0.name,39,39,str
formVideos.workoutVideos.2.mediaSources.0.audioTracks.0.primary,39,39,bool
formVideos.workoutVideos.2.mediaSources.0.mimeType,39,39,str
formVideos.workoutVideos.2.mediaSources.0.providerName,39,39,str
formVideos.workoutVideos.2.mediaSources.0.textTracks.0.language,39,39,str
formVideos.workoutVideos.2.mediaSources.0.textTracks.0.name,39,39,str
formVideos.workoutVideos.2.mediaSources.0.textTracks.0.type,39,39,str
formVideos.workoutVideos.2.mediaSources.0.uri,39,39,str
formVideos.workoutVideos.2.mediaSources.1.audioTracks.0.duration,39,39,int
formVideos.workoutVideos.2.mediaSources.1.audioTracks.0.language,39,39,str
formVideos.workoutVideos.2.mediaSources.1.audioTracks.0.name,39,39,str
formVideos.workoutVideos.2.mediaSources.1.audioTracks.0.primary,39,39,bool
formVideos.workoutVideos.2.mediaSources.1.mimeType,39,39,str
formVideos.workoutVideos.2.mediaSources.1.providerName,39,39,str
formVideos.workoutVideos.2.mediaSources.1.textTracks.0.language,39,39,str
formVideos.workoutVideos.2.mediaSources.1.textTracks.0.name,39,39,str
formVideos.workoutVideos.2.mediaSources.1.textTracks.0.type,39,39,str
formVideos.workoutVideos.2.mediaSources.1.uri,39,39,str
formVideos.workoutVideos.2.name,39,39,str
formVideos.workoutVideos.2.posterUri,39,2,"NoneType, str"
formVideos.workoutVideos.2.publish,39,39,bool
formVideos.workoutVideos.2.recommendationType,39,0,NoneType
formVideos.workoutVideos.2.targetDistance,39,0,NoneType
formVideos.workoutVideos.2.thumbnailUri,39,2,"NoneType, str"
formVideos.workoutVideos.2.type,39,39,str
formVideos.workoutVideos.2.videoDisplayTime,39,39,str
formVideos.workoutVideos.3.brightcoveVideoId,12,12,str
formVideos.workoutVideos.3.categoryId,12,12,int
formVideos.workoutVideos.3.closedCaptions.0.language,12,12,str
formVideos.workoutVideos.3.closedCaptions.0.mimeType,12,12,str
formVideos.workoutVideos.3.closedCaptions.0.type,12,12,str
formVideos.workoutVideos.3.closedCaptions.0.uri,12,12,str
formVideos.workoutVideos.3.durationBody,12,12,int
formVideos.workoutVideos.3.enabled,12,12,bool
formVideos.workoutVideos.3.exercises.0.id,12,12,str
formVideos.workoutVideos.3.exercises.0.key,12,12,str
formVideos.workoutVideos.3.exercises.0.name,12,12,str
formVideos.workoutVideos.3.exercises.0.tagGroupId,12,12,str
formVideos.workoutVideos.3.exercises.0.tagGroupKey,12,12,str
formVideos.workoutVideos.3.exercises.0.tagGroupName,12,12,str
formVideos.workoutVideos.3.explicitLyrics,12,0,bool
formVideos.workoutVideos.3.id,12,12,int
formVideos.workoutVideos.3.image.bucket,2,2,str
formVideos.workoutVideos.3.image.imageServerBaseUrl,2,2,str
formVideos.workoutVideos.3.image.key,2,2,str
formVideos.workoutVideos.3.instructors.seat1,12,0,NoneType
formVideos.workoutVideos.3.instructors.seat1Id,12,0,NoneType
formVideos.workoutVideos.3.instructors.seat2,12,0,NoneType
formVideos.workoutVideos.3.instructors.seat2Id,12,0,NoneType
formVideos.workoutVideos.3.instructors.seat3,12,0,NoneType
formVideos.workoutVideos.3.instructors.seat3Id,12,0,NoneType
formVideos.workoutVideos.3.instructors.stroke.cardImage,12,0,NoneType
formVideos.workoutVideos.3.instructors.stroke.cardUri,12,0,NoneType
formVideos.workoutVideos.3.instructors.stroke.familiarName,12,12,str
formVideos.workoutVideos.3.instructors.stroke.id,12,12,int
formVideos.workoutVideos.3.instructors.stroke.instructorName,12,12,str
formVideos.workoutVideos.3.instructors.stroke.name,12,12,str
formVideos.workoutVideos.3.instructors.stroke.thumbnailImage.bucket,12,12,str
formVideos.workoutVideos.3.instructors.stroke.thumbnailImage.imageServerBaseUrl,12,12,str
formVideos.workoutVideos.3.instructors.stroke.thumbnailImage.key,12,12,str
formVideos.workoutVideos.3.instructors.stroke.thumbnailUri,12,12,str
formVideos.workoutVideos.3.instructors.strokeId,12,12,int
formVideos.workoutVideos.3.intensityIconUrl,12,0,NoneType
formVideos.workoutVideos.3.intensityLevel,12,0,NoneType
formVideos.workoutVideos.3.intensityText,12,0,NoneType
formVideos.workoutVideos.3.isCanceled,12,0,bool
formVideos.workoutVideos.3.isLive,12,0,bool
formVideos.workoutVideos.3.liveBodyBroadcastTime,12,0,NoneType
formVideos.workoutVideos.3.location,12,12,str
formVideos.workoutVideos.3.locationShortName,12,12,str
formVideos.workoutVideos.3.maxRhythm,12,0,NoneType
formVideos.workoutVideos.3.mediaSources.0.audioTracks.0.duration,12,12,int
formVideos.workoutVideos.3.mediaSources.0.audioTracks.0.language,12,12,str
formVideos.workoutVideos.3.mediaSources.0.audioTracks.0.name,12,12,str
formVideos.workoutVideos.3.mediaSources.0.audioTracks.0.primary,12,12,bool
formVideos.workoutVideos.3.mediaSources.0.mimeType,12,12,str
formVideos.workoutVideos.3.mediaSources.0.providerName,12,12,str
formVideos.workoutVideos.3.mediaSources.0.textTracks.0.language,12,12,str
formVideos.workoutVideos.3.mediaSources.0.textTracks.0.name,12,12,str
formVideos.workoutVideos.3.mediaSources.0.textTracks.0.type,12,12,str
formVideos.workoutVideos.3.mediaSources.0.uri,12,12,str
formVideos.workoutVideos.3.mediaSources.1.audioTracks.0.duration,12,12,int
formVideos.workoutVideos.3.mediaSources.1.audioTracks.0.language,12,12,str
formVideos.workoutVideos.3.mediaSources.1.audioTracks.0.name,12,12,str
formVideos.workoutVideos.3.mediaSources.1.audioTracks.0.primary,12,12,bool
formVideos.workoutVideos.3.mediaSources.1.mimeType,12,12,str
formVideos.workoutVideos.3.mediaSources.1.providerName,12,12,str
formVideos.workoutVideos.3.mediaSources.1.textTracks.0.language,12,12,str
formVideos.workoutVideos.3.mediaSources.1.textTracks.0.name,12,12,str
formVideos.workoutVideos.3.mediaSources.1.textTracks.0.type,12,12,str
formVideos.workoutVideos.3.mediaSources.1.uri,12,12,str
formVideos.workoutVideos.3.name,12,12,str
formVideos.workoutVideos.3.posterUri,12,2,"NoneType, str"
formVideos.workoutVideos.3.publish,12,12,bool
formVideos.workoutVideos.3.recommendationType,12,0,NoneType
formVideos.workoutVideos.3.targetDistance,12,0,NoneType
formVideos.workoutVideos.3.thumbnailUri,12,2,"NoneType, str"
formVideos.workoutVideos.3.type,12,12,str
formVideos.workoutVideos.3.videoDisplayTime,12,12,str
formVideos.workoutVideos.4.brightcoveVideoId,3,3,str
formVideos.workoutVideos.4.categoryId,3,3,int
formVideos.workoutVideos.4.closedCaptions.0.language,3,3,str
formVideos.workoutVideos.4.closedCaptions.0.mimeType,3,3,str
formVideos.workoutVideos.4.closedCaptions.0.type,3,3,str
formVideos.workoutVideos.4.closedCaptions.0.uri,3,3,str
formVideos.workoutVideos.4.durationBody,3,3,int
formVideos.workoutVideos.4.enabled,3,3,bool
formVideos.workoutVideos.4.exercises.0.id,3,3,str
formVideos.workoutVideos.4.exercises.0.key,3,3,str
formVideos.workoutVideos.4.exercises.0.name,3,3,str
formVideos.workoutVideos.4.exercises.0.tagGroupId,3,3,str
formVideos.workoutVideos.4.exercises.0.tagGroupKey,3,3,str
formVideos.workoutVideos.4.exercises.0.tagGroupName,3,3,str
formVideos.workoutVideos.4.explicitLyrics,3,0,bool
